[2019-01-17 10:06:01.8732] [WebCore.Startup+<>c__DisplayClass5_0.<Configure>b__9] [Info]: [网站启动] [] [CancellationTokenSource.ExecuteCallbackHandlers => ExecutionContext.RunInternal => <>c__DisplayClass5_0.<Configure>b__9] []
[2019-01-17 10:06:55.6057] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [AsyncStateMachineBox`1.MoveNext => ExecutionContext.RunInternal => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:06:55.8575] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [AsyncStateMachineBox`1.MoveNext => ExecutionContext.RunInternal => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:07:50.0982] [WebCore.Startup+<>c__DisplayClass5_0.<Configure>b__9] [Info]: [网站启动] [] [CancellationTokenSource.ExecuteCallbackHandlers => ExecutionContext.RunInternal => <>c__DisplayClass5_0.<Configure>b__9] []
[2019-01-17 10:08:04.3014] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [HttpsConnectionAdapter.InnerOnConnectionAsync => AsyncMethodBuilderCore.Start => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:08:41.2774] [WebCore.Startup+<>c__DisplayClass5_0.<Configure>b__9] [Info]: [网站启动] [] [CancellationTokenSource.ExecuteCallbackHandlers => ExecutionContext.RunInternal => <>c__DisplayClass5_0.<Configure>b__9] []
[2019-01-17 10:08:45.5033] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [HttpsConnectionAdapter.InnerOnConnectionAsync => AsyncMethodBuilderCore.Start => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:10:25.2841] [WebCore.Startup+<>c__DisplayClass5_0.<Configure>b__9] [Info]: [网站启动] [] [CancellationTokenSource.ExecuteCallbackHandlers => ExecutionContext.RunInternal => <>c__DisplayClass5_0.<Configure>b__9] []
[2019-01-17 10:10:32.9393] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [HttpsConnectionAdapter.InnerOnConnectionAsync => AsyncMethodBuilderCore.Start => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:15:13.7245] [WebCore.Startup+<>c__DisplayClass5_0.<Configure>b__9] [Info]: [网站启动] [] [CancellationTokenSource.ExecuteCallbackHandlers => ExecutionContext.RunInternal => <>c__DisplayClass5_0.<Configure>b__9] []
[2019-01-17 10:15:18.7579] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [AsyncStateMachineBox`1.MoveNext => ExecutionContext.RunInternal => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:15:18.7326] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [AsyncStateMachineBox`1.MoveNext => ExecutionContext.RunInternal => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:15:19.6782] [WebCore.Hosting.MyRabbitMqService+<StartAsync>d__5.MoveNext] [Info]: [RabbitMq开始监听] [] [AsyncStateMachineBox`1.MoveNext => ExecutionContext.RunInternal => <StartAsync>d__5.MoveNext] []
[2019-01-17 10:16:18.0707] [WebCore.Startup+<>c__DisplayClass5_0.<Configure>b__9] [Info]: [网站启动] [] [CancellationTokenSource.ExecuteCallbackHandlers => ExecutionContext.RunInternal => <>c__DisplayClass5_0.<Configure>b__9] []
[2019-01-17 10:16:20.0859] [Microsoft.AspNetCore.Server.Kestrel.Https.Internal.HttpsConnectionAdapter+<InnerOnConnectionAsync>d__10.MoveNext] [Debug]: [Failed to authenticate HTTPS connection.] [] [AsyncStateMachineBox`1.MoveNext => ExecutionContext.RunInternal => <InnerOnConnectionAsync>d__10.MoveNext] []
[2019-01-17 10:16:21.2605] [WebCore.Hosting.MyRabbitMqService+<StartAsync>d__5.MoveNext] [Info]: [RabbitMq开始监听] [] [AsyncStateMachineBox`1.MoveNext => ExecutionContext.RunInternal => <StartAsync>d__5.MoveNext] []
[2019-01-17 10:28:34.4240] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["ssss"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:01.9484] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:00"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:01.9843] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:01"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.0216] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:01"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.0568] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:01"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.0938] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.1307] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.1669] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.2037] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.2442] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.2848] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.3223] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.3602] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.3985] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.4380] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.4821] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.5203] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.5574] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
[2019-01-17 10:31:02.5977] [WebCore.Hosting.MyRabbitMqService.Process] [Info]: ["2019/1/17 10:31:02"] [] [<>c__DisplayClass11_0.<HandleBasicDeliver>b__0 => RabbitListenerAbstract.<Register>b__19_0 => MyRabbitMqService.Process] []
